CF_Scaffold_ID,CF_Scaffold_SMILES,NATx_SMILES,NATx_ID,Substructure_SMILES,Chemotype
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2cc3ccccc3o2)C1,NAT18-348503,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ncc[nH]2)C1,NAT18-348505,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(CC2CC2)C1,NAT18-348506,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2cccc(OC(F)(F)F)c2)C1,NAT18-348507,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ccc(-c3ccccn3)cc2)C1,NAT18-348508,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cn1c(CN2C[C@H](O)C[C@H]2c2nc(-c3ccccc3)no2)nc2ccccc21,NAT18-348509,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CS(=O)(=O)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccccc3)no2)cc1,NAT18-348510,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(=O)N1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)CC1,NAT18-348513,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)cc1,NAT18-348514,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2ccccc2)C1,NAT18-348515,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
