,CF_FRG,CF_SMILES,COCONUT_SMILES,COCONUT_ID,Substructure_SMILES,Murcko_SMILES,Exit_Atom_Numbers,Num_Exit_Atoms,Substructure_Exit_Atoms,CF_2D_Mol,COCONUT_2D_Mol,Substructure_2D_Mol
11,F102,O=C(c1cncnc1)N1CC[C@H](c2nc3ccccc3o2)C1,O=C(C1=CN=CN=C1)N1CC[C@H](C2=NC3=CC=CC=C3O2)C1,CNP0030338.2,O=C(c1cncnc1)N1CC[C@H](c2nc3ccccc3o2)C1,O=C(c1cncnc1)N1CC[C@H](c2nc3ccccc3o2)C1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f05f30>,<rdkit.Chem.rdchem.Mol object at 0x7729d934ba00>,<rdkit.Chem.rdchem.Mol object at 0x7729d9379e70>,<rdkit.Chem.rdchem.Mol object at 0x7729d93ac200>
12,F134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,C1=CC=C2NC([C@H]3CCNC3)=NC2=C1,CNP0416429.1,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f093f0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9350200>,<rdkit.Chem.rdchem.Mol object at 0x7729d937e5e0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b0970>
13,F138,COC(=O)c1ccc2[nH]c([C@H]3CCNC3)nc2c1,COC(=O)C1=CC=C2NC([C@H]3CCNC3)=NC2=C1,CNP0009929.1,COC(=O)c1ccc2[nH]c([C@H]3CCNC3)nc2c1,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f095d0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93504a0>,<rdkit.Chem.rdchem.Mol object at 0x7729d937e880>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b0c10>
14,F145,Clc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)s1,ClC1=CC=C(C2=CNC([C@@H]3COCCN3)=N2)S1,CNP0339471.1,Clc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)s1,c1csc(-c2c[nH]c([C@@H]3COCCN3)n2)c1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f09710>,<rdkit.Chem.rdchem.Mol object at 0x7729d9350740>,<rdkit.Chem.rdchem.Mol object at 0x7729d937eb20>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b0eb0>
15,F168,NC[C@H]1O[C@H](Cc2cc(-c3ccccc3)on2)CC[C@@H]1O,NC[C@H]1O[C@H](CC2=NOC(C3=CC=CC=C3)=C2)CC[C@@H]1O,CNP0010494.1,NC[C@H]1O[C@H](Cc2cc(-c3ccccc3)on2)CC[C@@H]1O,c1ccc(-c2cc(C[C@@H]3CCCCO3)no2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f0acf0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9352500>,<rdkit.Chem.rdchem.Mol object at 0x7729d9380970>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b2c70>
16,F184,COC(=O)c1coc([C@H](CO)NC2CCOCC2)n1,COC(=O)C1=COC([C@H](CO)NC2CCOCC2)=N1,CNP0010500.1,COC(=O)c1coc([C@H](CO)NC2CCOCC2)n1,c1coc(CNC2CCOCC2)n1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f0b560>,<rdkit.Chem.rdchem.Mol object at 0x7729d93530d0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9381540>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b3840>
17,F186,COC(=O)c1coc([C@@H](CO)NC(=O)C(C)(C)C)n1,COC(=O)C1=COC([C@H](CO)NC(=O)C(C)(C)C)=N1,CNP0021604.1,COC(=O)c1coc([C@@H](CO)NC(=O)C(C)(C)C)n1,c1cocn1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f0b510>,<rdkit.Chem.rdchem.Mol object at 0x7729d9353140>,<rdkit.Chem.rdchem.Mol object at 0x7729d93815b0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b38b0>
18,F188,CNC(=O)[C@@H](c1ccc(Cl)cc1)N1CCC[C@H]1C(=O)O,CNC(=O)[C@@H](C1=CC=C(Cl)C=C1)N1CCC[C@H]1C(=O)O,CNP0016738.1,CNC(=O)[C@@H](c1ccc(Cl)cc1)N1CCC[C@H]1C(=O)O,c1ccc(CN2CCCC2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f0b420>,<rdkit.Chem.rdchem.Mol object at 0x7729d93531b0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9381620>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b3920>
19,F189,Cc1ccc(S(=O)(=O)N[C@@H]2CO[C@H](CO)[C@H]2O)cc1,CC1=CC=C(S(=O)(=O)N[C@@H]2CO[C@H](CO)[C@H]2O)C=C1,CNP0035778.1,Cc1ccc(S(=O)(=O)N[C@@H]2CO[C@H](CO)[C@H]2O)cc1,O=S(=O)(N[C@H]1CCOC1)c1ccccc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f0b6a0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9353370>,<rdkit.Chem.rdchem.Mol object at 0x7729d93817e0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b3ae0>
20,F225,N[C@@H]1[C@@H](O)CO[C@@H]1CNC(=O)Nc1ccccc1,N[C@@H]1[C@@H](O)CO[C@@H]1CNC(=O)NC1=CC=CC=C1,CNP0174414.1,N[C@@H]1[C@@H](O)CO[C@@H]1CNC(=O)Nc1ccccc1,O=C(NC[C@@H]1CCCO1)Nc1ccccc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f10130>,<rdkit.Chem.rdchem.Mol object at 0x7729d9354270>,<rdkit.Chem.rdchem.Mol object at 0x7729d9382650>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b49e0>
21,F236,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,CS(=O)(=O)C1=CC=C(O[C@@H]2CNCCOC2)C=C1,CNP0009966.1,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,c1ccc(O[C@@H]2CNCCOC2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f10c20>,<rdkit.Chem.rdchem.Mol object at 0x7729d93551c0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93835a0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b5930>
22,F248,O=C(c1ccccc1)N1CCN2C(=O)OC[C@H]2C1,O=C(C1=CC=CC=C1)N1CCN2C(=O)OC[C@H]2C1,CNP0009363.1,O=C(c1ccccc1)N1CCN2C(=O)OC[C@H]2C1,O=C(c1ccccc1)N1CCN2C(=O)OC[C@H]2C1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f110d0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9355850>,<rdkit.Chem.rdchem.Mol object at 0x7729d9383c30>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b5fc0>
23,F274,Cc1ccc2c(n1)N(C)[C@H](CO)CCNC2,CC1=CC=C2CNCC[C@@H](CO)N(C)C2=N1,CNP0331366.1,Cc1ccc2c(n1)N(C)[C@H](CO)CCNC2,c1cnc2c(c1)CNCCCN2,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f11710>,<rdkit.Chem.rdchem.Mol object at 0x7729d9356110>,<rdkit.Chem.rdchem.Mol object at 0x7729d9384580>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b6880>
24,F283,C#CCN(C)Cc1nc(C2(O)CCNCC2)cs1,C#CCN(C)CC1=NC(C2(O)CCNCC2)=CS1,CNP0075360.0,C#CCN(C)Cc1nc(C2(O)CCNCC2)cs1,c1nc(C2CCNCC2)cs1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f124d0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9357450>,<rdkit.Chem.rdchem.Mol object at 0x7729d93858c0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b7bc0>
25,F294,O[C@@H]1CCN(Cc2nc(C3(O)CCNCC3)cs2)C1,O[C@@H]1CCN(CC2=NC(C3(O)CCNCC3)=CS2)C1,CNP0007640.1,O[C@@H]1CCN(Cc2nc(C3(O)CCNCC3)cs2)C1,c1sc(CN2CCCC2)nc1C1CCNCC1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f13290>,<rdkit.Chem.rdchem.Mol object at 0x7729d9358820>,<rdkit.Chem.rdchem.Mol object at 0x7729d9386c00>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b8f90>
26,F299,O=S1(=O)N[C@@H]2CNC[C@@H]2Oc2ncccc21,O=S1(=O)N[C@@H]2CNC[C@@H]2OC2=NC=CC=C21,CNP0003683.1,O=S1(=O)N[C@@H]2CNC[C@@H]2Oc2ncccc21,O=S1(=O)N[C@@H]2CNC[C@@H]2Oc2ncccc21,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f13c90>,<rdkit.Chem.rdchem.Mol object at 0x7729d9359620>,<rdkit.Chem.rdchem.Mol object at 0x7729d9387a00>,<rdkit.Chem.rdchem.Mol object at 0x7729d93b9d90>
27,F304,COc1ccc(-c2noc(C(=O)O)c2[C@H](C)O)cc1,COC1=CC=C(C2=NOC(C(=O)O)=C2[C@H](C)O)C=C1,CNP0158005.1,COc1ccc(-c2noc(C(=O)O)c2[C@H](C)O)cc1,c1ccc(-c2ccon2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f14270>,<rdkit.Chem.rdchem.Mol object at 0x7729d9359e00>,<rdkit.Chem.rdchem.Mol object at 0x7729d9388270>,<rdkit.Chem.rdchem.Mol object at 0x7729d93ba570>
28,F310,O=C(NC[C@H]1O[C@H](CCO)CC[C@@H]1O)Nc1ccccc1,O=C(NC[C@H]1O[C@H](CCO)CC[C@@H]1O)NC1=CC=CC=C1,CNP0533660.1,O=C(NC[C@H]1O[C@H](CCO)CC[C@@H]1O)Nc1ccccc1,O=C(NC[C@@H]1CCCCO1)Nc1ccccc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f14040>,<rdkit.Chem.rdchem.Mol object at 0x7729d9359e70>,<rdkit.Chem.rdchem.Mol object at 0x7729d93882e0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93ba5e0>
29,F312,N[C@H]1CO[C@@H](CN2CCOCC2)[C@@H]1O,N[C@H]1CO[C@@H](CN2CCOCC2)[C@@H]1O,CNP0101110.1,N[C@H]1CO[C@@H](CN2CCOCC2)[C@@H]1O,C1CO[C@@H](CN2CCOCC2)C1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f142c0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9359ee0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9388350>,<rdkit.Chem.rdchem.Mol object at 0x7729d93ba650>
30,F313,CCN(CC)C[C@@H]1OCC(N)[C@H]1O,CCN(CC)C[C@@H]1OC[C@H](N)[C@H]1O,CNP0044767.2,CCN(CC)C[C@@H]1OCC(N)[C@H]1O,C1CCOC1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f1c040>,<rdkit.Chem.rdchem.Mol object at 0x7729d935f760>,<rdkit.Chem.rdchem.Mol object at 0x7729d938dbd0>,<rdkit.Chem.rdchem.Mol object at 0x7729d93bfed0>
31,F313,CCN(CC)C[C@@H]1OCC(N)[C@H]1O,CCN(CC)C[C@@H]1OC[C@@H](N)[C@H]1O,CNP0044767.1,CCN(CC)C[C@@H]1OCC(N)[C@H]1O,C1CCOC1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f1c360>,<rdkit.Chem.rdchem.Mol object at 0x7729d935f990>,<rdkit.Chem.rdchem.Mol object at 0x7729d938de00>,<rdkit.Chem.rdchem.Mol object at 0x7729d93c0190>
32,F322,CN(CCc1ccccc1)C[C@@H]1OC[C@H](N)[C@H]1O,CN(CCC1=CC=CC=C1)C[C@@H]1OC[C@H](N)[C@H]1O,CNP0016623.1,CN(CCc1ccccc1)C[C@@H]1OC[C@H](N)[C@H]1O,c1ccc(CCNC[C@H]2CCCO2)cc1,[],0,<rdkit.Chem.rdchem.Mol object at 0x7729c7f1e020>,<rdkit.Chem.rdchem.Mol object at 0x7729d93621f0>,<rdkit.Chem.rdchem.Mol object at 0x7729d9390660>,<rdkit.Chem.rdchem.Mol object at 0x7729d93c2960>
