COCONUT_Canonical_SMILES,CF_FRG,COCONUT_ID,COCONUT_NP_mol,CF_Mol,Name,IUPAC_Name,Synonyms,CAS,References,Ressource,Ressource_Ref,PubChem_ID,PubChem_CID,PubChem_Target_GI,PubChem_Target_Activity,PubChem_Target_Name,PubChem_Target_EC_Number,ChEMBL_ID_Similarity100,NP_Likeness,Dataset
CCNC(=O)NC1COC2C(OC(=O)Nc3ccc(C(C)=O)cc3)COC12,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0029530,<rdkit.Chem.rdchem.Mol object at 0x784ff865d310>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693760>,"6-[(ethylcarbamoyl)amino]-hexahydrofuro[3,2-b]furan-3-yl N-(4-acetylphenyl)carbamate","6-[(ethylcarbamoyl)amino]-hexahydrofuro[3,2-b]furan-3-yl N-(4-acetylphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008289, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73133292.0,,,,,,-0.9622934394593337,COCONUT
Cc1ccc(C(=O)NC2COC3C(OC(=O)Nc4ccccc4)COC23)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0030381,<rdkit.Chem.rdchem.Mol object at 0x784ff865d380>,<rdkit.Chem.rdchem.Mol object at 0x784ff86937d0>,"6-(4-methylbenzamido)-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate","6-(4-methylbenzamido)-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008041, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74687451.0,,,,,,-0.7971085903070285,COCONUT
COc1ccc(-c2ccnc(NC3COC4C(OC(=O)Nc5cccc(OC)c5)COC34)n2)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0030454,<rdkit.Chem.rdchem.Mol object at 0x784ff865d3f0>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693840>,"6-{[4-(4-methoxyphenyl)pyrimidin-2-yl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(3-methoxyphenyl)carbamate","6-{[4-(4-methoxyphenyl)pyrimidin-2-yl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(3-methoxyphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00013099, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73139802.0,,,,,,-0.916830964879337,COCONUT
COc1ccc(NC(=O)OC2COC3C(NS(=O)(=O)c4ccc(Cl)cc4)COC23)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0030753,<rdkit.Chem.rdchem.Mol object at 0x784ff865d460>,<rdkit.Chem.rdchem.Mol object at 0x784ff86938b0>,"6-(4-chlorobenzenesulfonamido)-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate","6-(4-chlorobenzenesulfonamido)-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008218, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73133217.0,,,,,,-1.0410772563897033,COCONUT
CCCS(=O)(=O)NC1COC2C(OC(=O)Nc3ccc(OC)cc3)COC12,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0030984,<rdkit.Chem.rdchem.Mol object at 0x784ff865d4d0>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693920>,"6-(propane-1-sulfonamido)-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate","6-(propane-1-sulfonamido)-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008220, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73133219.0,,,,,,-0.8753821491269184,COCONUT
O=C(Nc1ccc(Oc2ccccc2)cc1)NC1COC2C(OC(=O)Nc3cccc(C(F)(F)F)c3)COC12,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031093,<rdkit.Chem.rdchem.Mol object at 0x784ff865d540>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693990>,"6-{[(4-phenoxyphenyl)carbamoyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-[3-(trifluoromethyl)phenyl]carbamate","6-{[(4-phenoxyphenyl)carbamoyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-[3-(trifluoromethyl)phenyl]carbamate",[],,,zincnp,,,73133057.0,,,,,"['CHEMBL4920839', 'CHEMBL4761344']",-1.0851450393793594,COCONUT
COc1cccc(NC(=O)OC2COC3C2OCC3n2nnnc2C(C)C)c1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031275,<rdkit.Chem.rdchem.Mol object at 0x784ff865d5b0>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693a00>,"6-[5-(propan-2-yl)-1H-1,2,3,4-tetrazol-1-yl]-hexahydrofuro[3,2-b]furan-3-yl N-(3-methoxyphenyl)carbamate","6-[5-(propan-2-yl)-1H-1,2,3,4-tetrazol-1-yl]-hexahydrofuro[3,2-b]furan-3-yl N-(3-methoxyphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00009962, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73134357.0,,,,,,-1.3867832069668395,COCONUT
COc1ccc(NC(=O)OC2COC3C2OCC3n2nnnc2Sc2ccccc2)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031364,<rdkit.Chem.rdchem.Mol object at 0x784ff865d620>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693a70>,"6-[5-(phenylsulfanyl)-1H-1,2,3,4-tetrazol-1-yl]-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate","6-[5-(phenylsulfanyl)-1H-1,2,3,4-tetrazol-1-yl]-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00009901, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73134264.0,,,,,,-1.3848638972914,COCONUT
COc1ccc(NC(=O)OC2COC3C(NC(=S)Nc4cccc5ccccc45)COC23)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031383,<rdkit.Chem.rdchem.Mol object at 0x784ff865d690>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693ae0>,"6-{[(naphthalen-1-yl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate","6-{[(naphthalen-1-yl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00005394, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73130982.0,,,,,,-0.9484127316842385,COCONUT
COc1cc(NC(=S)NC2COC3C(OC(=O)Nc4ccc(C(C)=O)cc4)COC23)cc(OC)c1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031506,<rdkit.Chem.rdchem.Mol object at 0x784ff865d700>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693b50>,"6-{[(3,5-dimethoxyphenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(4-acetylphenyl)carbamate","6-{[(3,5-dimethoxyphenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(4-acetylphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00007053, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73132265.0,,,,,,-0.8771583283992571,COCONUT
